2025-03-17 00:28:44 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-03-17 00:28:44 [main] INFO  c.w.d.springmvc.DemoSpringMVCStarter - Starting DemoSpringMVCStarter using Java 17.0.6 with PID 21940 (C:\Users\moweitao\Desktop\study_stack\java-demo\8004-demo-springmvc\target\classes started by moweitao in C:\Users\moweitao\Desktop\study_stack\java-demo)
2025-03-17 00:28:44 [main] INFO  c.w.d.springmvc.DemoSpringMVCStarter - No active profile set, falling back to 1 default profile: "default"
2025-03-17 00:28:45 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8004 (http)
2025-03-17 00:28:45 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8004"]
2025-03-17 00:28:45 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-03-17 00:28:45 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36]
2025-03-17 00:28:45 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-03-17 00:28:45 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 893 ms
2025-03-17 00:28:45 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8004"]
2025-03-17 00:28:45 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8004 (http) with context path '/'
2025-03-17 00:28:45 [main] INFO  c.w.d.springmvc.DemoSpringMVCStarter - Started DemoSpringMVCStarter in 1.817 seconds (process running for 3.0)
2025-03-17 00:29:25 [http-nio-8004-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-03-17 00:29:25 [http-nio-8004-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-03-17 00:29:25 [http-nio-8004-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-03-17 00:29:25 [http-nio-8004-exec-1] INFO  c.w.d.s.demo.SpringMVCController - 8004-get
2025-03-17 00:30:13 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-03-17 00:30:19 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-03-17 00:30:19 [main] INFO  c.w.d.springmvc.DemoSpringMVCStarter - Starting DemoSpringMVCStarter using Java 17.0.6 with PID 9508 (C:\Users\moweitao\Desktop\study_stack\java-demo\8004-demo-springmvc\target\classes started by moweitao in C:\Users\moweitao\Desktop\study_stack\java-demo)
2025-03-17 00:30:19 [main] INFO  c.w.d.springmvc.DemoSpringMVCStarter - No active profile set, falling back to 1 default profile: "default"
2025-03-17 00:30:20 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8004 (http)
2025-03-17 00:30:20 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8004"]
2025-03-17 00:30:20 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-03-17 00:30:20 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36]
2025-03-17 00:30:20 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-03-17 00:30:20 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 971 ms
2025-03-17 00:30:20 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8004"]
2025-03-17 00:30:20 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8004 (http) with context path '/'
2025-03-17 00:30:20 [main] INFO  c.w.d.springmvc.DemoSpringMVCStarter - Started DemoSpringMVCStarter in 1.909 seconds (process running for 3.028)
